CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron;1.000;0.942;0.969;0.015;10;1.000;0.942;0.969;0.015;10
LogisticModelTree;0.707;0.459;0.476;0.015;10;0.883;0.574;0.595;0.017;8
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.015;10;1.000;1.000;1.000;0.015;10
REPTree;0.789;0.703;0.730;0.015;10;0.877;0.781;0.812;0.016;9
RandomForest;1.000;1.000;1.000;0.015;10;1.000;1.000;1.000;0.015;10
RandomCommittee;0.902;0.754;0.755;0.015;10;0.902;0.754;0.755;0.015;10
J48;0.360;0.309;0.298;0.015;10;0.900;0.773;0.745;0.029;4


VALIDITY RATIO;(F)
min;0.000153
avg;0.014822
max;0.093811

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.823;0.738;0.747;0.015;70;0.944;0.847;0.857;0.016;61

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
iNavBasic;0.714;0.657;0.683;0.000;7;1.000;0.920;0.956;0.000;5
CTOS MODEL;0.712;0.730;0.712;0.001;7;0.831;0.852;0.831;0.001;6
Tata Cars;0.863;0.869;0.844;0.003;7;0.863;0.869;0.844;0.003;7
Veículo;0.764;0.571;0.590;0.010;7;0.891;0.667;0.688;0.010;6
MiniTV;1.000;0.998;0.999;0.015;7;1.000;0.998;0.999;0.015;7
Dummy Car;0.793;0.586;0.646;0.002;7;0.925;0.683;0.754;0.002;6
UML-IDE-TOOL;1.000;1.000;1.000;0.094;7;1.000;1.000;1.000;0.094;7
Eshop-ufrj;0.831;0.714;0.704;0.012;7;0.969;0.833;0.821;0.012;6
Homepage based on wiki;0.843;0.704;0.726;0.004;7;0.984;0.822;0.847;0.004;6
Adams Car;0.706;0.552;0.564;0.007;7;0.989;0.772;0.790;0.007;5
