model;features;tree_constraints;cross_constraints;valid;invalid
prueba;26;15;3;720;67108144
Carro;26;18;0;512;67108352
MODELO HISTORIA CLINICA;26;13;0;12288;67096576
DMS;26;20;0;540;67108324
Mobile Media v8;26;23;0;272;67108592
LIneFollower_1;26;9;4;240;67108624
e-foramation;26;19;0;1260;67107604
MarketplaceDeLosAlpes;26;19;0;128;67108736
HelpSystem_2;26;16;7;96;67108768
HelpSystem_1;26;16;0;672;67108192
Caso Inmobiliaria;26;16;4;720;67108144
POOGame;26;16;2;4896;67103968
Sistema de venda de passagens;26;18;0;256;67108608
Visit Indo;26;15;0;6048;67102816
MasterSoft: Verkauf;26;18;0;384;67108480
Digital_Video_System;26;13;3;22680;67086184
