model;features;tree_constraints;cross_constraints;valid;invalid
Sistema de Informes por movil;28;13;19;534;268434922
Guitarra;28;17;2;3072;268432384
Recordatorios;28;11;1;230400;268205056
Portafolios1Gomez;28;15;1;10752;268424704
Smart_Home;28;12;3;182280;268253176
deepak_fm;28;19;0;512;268434944
Inmobiliaria;28;13;5;21600;268413856
Quality Attribute Functionalities Simple;28;20;0;9599;268425857
Trabalho Topicos;28;20;0;448;268435008
Urna Eletrônica - Renato - UFMG;28;25;12;3;268435453
Livraria Online;28;12;3;58080;268377376
smartphone;28;18;0;1536;268433920
SlotsAndModules;28;17;25;6;268435450
uController Board;28;12;0;345600;268089856
eval_board;28;22;0;512;268434944
