model;features;tree_constraints;cross_constraints;valid;invalid
Mobile Games;16;8;1;3645;61891
SoftwareClassification;16;11;0;28;65508
GoPhone Inc;16;6;0;3150;62386
Web Game;16;12;2;84;65452
Simaldores de Engenharia de Software;16;9;0;96;65440
Disciplina;16;11;7;16;65520
Mobile Media Bruno R;16;10;0;280;65256
MobileMedia_Marcelo;16;11;0;140;65396
Mobile Media;16;11;0;140;65396
MobileMedia_VitorSales;16;11;0;140;65396
Mobile Media;16;11;0;140;65396
mobile_media_thom;16;11;0;140;65396
MobileMedia_BrunoMartins;16;11;1;140;65396
MobileMedia_Pedro_Pires;16;11;0;140;65396
MobileMedia_HudsonSilvaBorges;16;11;0;140;65396
Henrique Gomes Nunes;16;11;0;140;65396
Mobile Media;16;10;0;280;65256
Mobile  Model;16;13;2;15;65521
modelo celular;16;13;2;15;65521
mobile media;16;12;2;66;65470
MobileMedia7;16;11;2;60;65476
modelo mobilemedia;16;13;2;12;65524
Mobile  Model;16;13;2;15;65521
Mobile Media;16;13;2;12;65524
Exercicio Experimento 1;16;11;0;140;65396
Requisitos II;16;11;4;14;65522
Pruebas II;16;10;3;12;65524
Test Collaboration System;16;9;1;936;64600
notebook;16;10;0;96;65440
Mobile Media Test;16;10;2;48;65488
teste puc;16;10;1;72;65464
MobileMedia-Bruno-ExpUFMG;16;10;1;48;65488
MobileMedia_mgarnier;16;10;1;48;65488
MobileMedia_Diego;16;10;2;99;65437
MobileMedia_Luciano;16;10;2;90;65446
Sisgeo;16;7;1;1337;64199
MobileMedia_Cleice;16;11;2;24;65512
MobileMedia_Thanis;16;10;2;72;65464
Mobile Media_LeonardoSilva;16;10;1;48;65488
MobileMedia_DiegoTavares;16;10;2;72;65464
MobileMedia_JulianaPadilha;16;11;2;18;65518
Mobile_Media_Gabriela;16;13;1;6;65530
Mobile Media Thiago;16;10;1;48;65488
myHolidays;16;11;1;32;65504
Data Collection Model;16;11;0;84;65452
MobilePhone;16;10;2;168;65368
a;16;11;0;558;64978
Middle Office;16;15;0;2;65534
IoT-MPL;16;10;0;180;65356
Smart Phone Feature Model;16;8;2;168;65368
Navigation Protocol;16;13;0;56;65480
Urna - Municipal;16;12;0;9;65527
SIXL;16;9;2;294;65242
dinner;16;11;3;77;65459
Features Computador;16;6;0;320;65216
