model;features;tree_constraints;cross_constraints;valid;invalid
SAL;10;7;1;12;1012
Mobile Game;10;5;0;135;889
VODPlayer;10;5;0;48;976
CIMS PL;10;10;0;1;1023
AvionFEatures;10;8;0;12;1012
Phone sple;10;8;3;27;997
Phone;10;4;3;46;978
Ökonomische Merkmale;10;7;0;24;1000
carpl;10;9;0;2;1022
MyFM;10;5;2;19;1005
rtrt;10;6;1;20;1004
FeatureModel1;10;6;0;16;1008
Example Mobile Phone;10;6;2;14;1010
testISA2012;10;6;2;14;1010
Mobile-Phone;10;6;2;14;1010
Mobile phone (lenita);10;6;2;14;1010
Mobile Phone GF;10;6;2;14;1010
Example Product Line Course Using SPLOT;10;6;2;14;1010
Guad gmocht!;10;6;1;20;1004
MobileMedia;10;6;1;28;996
Simnumero;10;9;0;8;1016
isolation;10;9;0;3;1021
AllSports Feature Model;10;7;1;24;1000
Bicis_Feature_Model;10;7;1;6;1018
MobileMedia;10;5;0;30;994
WebApp;10;3;0;160;864
abcdefg;10;8;0;6;1018
Disenio;10;9;3;4;1020
sasgd;10;8;0;20;1004
anlisis II;10;3;3;28;996
disenio II;10;6;1;30;994
AA;10;8;0;16;1008
Modelo;10;10;3;4;1020
TEST_NAme;10;6;0;36;988
Test;10;8;0;16;1008
UPT_RM_MOBILE;10;6;2;14;1010
acarlos_trab2_mobile;10;6;2;14;1010
Prontuário Eletrônico de Pacientes;10;7;0;10;1014
test gv;10;5;0;32;992
Dental Surgery;10;9;0;2;1022
Cell-Phone-SPL-2014-without;10;5;0;48;976
Computer Selection;10;9;0;2;1022
Rotary_Element;10;7;0;12;1012
E-Shop, magister2014;10;7;0;18;1006
eshop;10;7;2;9;1015
Nudelsalat;10;4;0;12;1012
MK Andes;10;8;0;4;1020
SPL Studies;10;6;0;62;962
Telefono;10;6;3;7;1017
Mobile Phone;10;6;2;14;1010
jjjjj;10;6;2;18;1006
celular;10;6;2;11;1013
Bandymas;10;6;2;18;1006
test 3;10;5;1;32;992
LXEP;10;10;0;2;1022
Feature Tree Example;10;7;2;8;1016
Sample;10;5;0;32;992
Mobile Tourist Planner;10;6;0;28;996
votacao eletronica;10;8;1;7;1017
Car;10;6;0;24;1000
Mobile Phone;10;6;2;14;1010
Test1;10;7;2;8;1016
Maquina de Cae;10;5;0;36;988
Autosoft;10;4;0;122;902
Minimalistic PC Feature Model;10;7;2;4;1020
Match engine;10;6;0;16;1008
Mobile Phone UPT;10;6;2;14;1010
Mobile Phone UPT - 18413;10;6;2;14;1010
Manuel;10;6;2;9;1015
Telefonia Celular;10;5;2;36;988
E-SHOP;10;6;2;8;1016
Eval_board;10;10;0;2;1022
Hello World;10;6;1;35;989
hhhhhhh;10;8;1;4;1020
drupal sawsen;10;9;1;8;1016
Mobile phone;10;6;2;10;1014
mobile phone;10;6;2;26;998
