model;features;tree_constraints;cross_constraints;valid;invalid
FAME-DBMS;21;13;0;320;2096832
Diagrama de Experimento;21;14;0;128;2097024
Modelo de Características de um Carro;21;12;5;1280;2095872
Monitor;21;9;0;2976;2094176
EnsinoOperaLogicosKdu;21;14;0;2385;2094767
Eventos1Sandoval;21;13;0;1512;2095640
Toko;21;13;0;448;2096704
Toko;21;12;0;256;2096896
Bike;21;9;6;1314;2095838
Modelo de Características de um Carro;21;12;5;1280;2095872
Card Payment Terminal;21;13;4;4774;2092378
urna3_Padia;21;19;6;6;2097146
Urna - Marcos Felipe - UFMG;21;20;0;36;2097116
UrnaEletronica;21;18;0;105;2097047
URNA - Gabriel Carmo;21;14;0;72;2097080
BC;21;12;0;768;2096384
Linea de Productos;21;17;2;56;2097096
Telefonos Celulares;21;13;4;924;2096228
Game Entity Model;21;12;0;513;2096639
Robot SPLE;21;14;6;252;2096900
service de la poste;21;16;0;8176;2088976
Bike Shop;21;11;11;70;2097082
CRM;21;13;2;3640;2093512
