model;features;tree_constraints;cross_constraints;valid;invalid
Cell Phone;15;10;2;61;32707
Web Content Delivery;15;9;6;23;32745
Coff Feature Model;15;7;0;1512;31256
VMS;15;11;0;44;32724
Test;15;9;3;60;32708
Venza;15;11;4;4;32764
SD Voter pattern feature model;15;10;1;120;32648
Technical Solution Process;15;9;1;52;32716
iNavBasic;15;13;0;4;32764
Transmission;15;9;1;44;32724
Agile Simules;15;11;1;24;32744
MobileMedia_Lenita;15;13;2;6;32762
Estudo Experimental 2;15;13;2;6;32762
Flight Reservations;15;12;1;126;32642
MobileMedia_Ibraim;15;10;2;24;32744
MobileMedia_LeonardoVasconcelos;15;10;2;48;32720
MobileMedia_Bruno;15;10;2;24;32744
MobileMedia_MarinaMB;15;10;2;24;32744
Mobile Media;15;10;2;24;32744
MobileMedia_CarlosEduardoPaulinoSilva;15;10;2;24;32744
Mobile media v5;15;13;0;8;32760
ACARLOS_car;15;12;0;72;32696
Cars xpto;15;12;0;72;32696
UPT TAM;15;13;0;40;32728
Software-Product;15;7;0;256;32512
Pruebas Booleanas;15;12;0;24;32744
e-commerce;15;8;0;213;32555
testmodel1;15;9;1;18;32750
robot experiment;15;13;2;10;32758
Proceso Analisis;15;12;3;5;32763
Metadata;15;11;0;511;32257
Urna eletronica Vinicius Cesar;15;13;0;6;32762
markke core asset testing;15;10;0;24;32744
Automóvil;15;8;1;48;32720
CPS;15;12;0;72;32696
smart phone;15;10;2;116;32652
Audio Player;15;12;0;12;32756
SlotsForModules;15;7;16;6;32762
