model;features;tree_constraints;cross_constraints;valid;invalid
Insurance Policy;22;14;2;1248;4193056
JCalc_LPS;22;10;0;1152;4193152
StoreFrontSystem;22;15;0;1216;4193088
TrialADC;22;14;5;69;4194235
Fabrica de software;22;20;0;12;4194292
Mobile Applications Contents;22;8;0;5280;4189024
Tiendas_pos;22;9;0;3072;4191232
Software-Product;22;11;0;2048;4192256
MC_PortalesCeis_Magister;22;9;2;23040;4171264
LineaDeCredito;22;13;0;108;4194196
MarketplaceDeLosAlpes;22;15;0;128;4194176
Uniandes-MISO-Inmobiliaria;22;8;6;8250;4186054
GymManager;22;15;0;540;4193764
17-mobile Game;22;12;0;1260;4193044
Smart Home;22;13;2;8480;4185824
IEC;22;22;0;2;4194302
urna_2012054743;22;10;0;27776;4166528
