model;features;tree_constraints;cross_constraints;valid;invalid
Mobile Phone;25;14;2;7056;33547376
GMF_Eclipse_Reuso_UFRJ;25;25;0;2;33554430
Assistencia domiciliar;25;17;2;5796;33548636
MobileMedia_Conejero;25;22;0;256;33554176
Carros;25;13;0;1620;33552812
Carros;25;13;1;1620;33552812
Lucas - pnp;25;15;4;4032;33550400
stcam;25;15;6;216;33554216
VacacionesSanmiguel;25;12;5;28764;33525668
eventos2;25;13;0;10584;33543848
MesaAyuda-Magister2014;25;12;9;656;33553776
MobilePhone;25;15;2;3528;33550904
Online Bookstore;25;15;1;3168;33551264
Help System;25;15;5;1008;33553424
Mobile Phone;25;14;2;7056;33547376
Urna Eletrônica - Marina - UFMG;25;19;2;418;33554014
SM for SPLE;25;15;0;1728;33552704
Ligne des sites Web;25;16;8;181;33554251
Automoviles;25;17;0;4464;33549968
uController;25;13;0;7680;33546752
Key_Word_In_Context_index_systems;25;16;3;240;33554192
Insurance_Product;25;14;4;1384;33553048
