model;features;tree_constraints;cross_constraints;valid;invalid
Project Portal Suite;18;4;0;16384;245760
Car Software System;18;14;1;70;262074
IDE4OCL;18;9;0;896;261248
Software Engineering Course;18;14;3;6;262138
ISPW-6;18;13;2;24;262120
Editor de imagem;18;9;1;464;261680
Requirements Proces Variability;18;12;9;12;262132
OnlineExamPL;18;16;1;10;262134
dfffffffffff;18;10;0;252;261892
Mobile media v6;18;16;0;16;262128
myHolidays;18;11;1;128;262016
myHolidays;18;11;1;128;262016
ComputationalThinking;18;13;0;6;262138
Visual Data Graph;18;9;0;1792;260352
IRIS;18;9;3;2352;259792
Telefonos Moviles;18;12;4;88;262056
computers;18;12;0;4095;258049
Amazon web services;18;9;0;8191;253953
MobilePhone;18;15;5;8;262136
depresija1;18;10;16;127;262017
Text_Editor;18;11;0;396;261748
