model;features;tree_constraints;cross_constraints;valid;invalid
Small Graph Product Line;17;10;3;308;130764
AudioPlayer;17;12;0;96;130976
Mobile Media until relase 7;17;11;0;112;130960
SMS a Cobrar / Resposta paga;17;13;3;96;130976
Basic Text Editor;17;11;0;96;130976
GuideAgent;17;14;3;11;131061
Mobile Media;17;12;1;126;130946
Mobile Media Adriano Lages;17;10;1;420;130652
daniel souza;17;10;0;420;130652
MobileMedia_BrunoAquino;17;10;0;420;130652
MobileMedia_Gustavo;17;10;0;420;130652
celular;17;16;1;6;131066
Modelo de Celulares;17;14;2;15;131057
Mobile  Model;17;12;1;126;130946
Willian Oizumi - Mobile Media;17;10;1;72;131000
Gsist;17;12;0;84;130988
SmartPhone Device;17;9;2;192;130880
DiegoMobileMedia;17;10;1;378;130694
Mobile_Media_Gabriela;17;14;1;12;131060
EventosPerez;17;7;1;1792;129280
variabilidad;17;13;3;16;131056
SIGA-lctf-fta;17;12;0;196;130876
MISO Uniandes 201411102;17;11;0;120;130952
BuurtPensioen;17;10;0;1524;129548
LscSpecSemantics;17;12;0;40;131032
Tienda Virtual PUJ;17;7;0;816;130256
SysML Model;17;11;0;48;131024
Master;17;10;1;252;130820
PPU;17;13;2;54;131018
Urna-EMF;17;10;9;27;131045
MobiLine;17;11;1;112;130960
Hastane Randevu Sistemi;17;9;1;216;130856
Mobile Phone Product Line;17;12;0;168;130904
Graph Product Line;17;9;13;79;130993
Monitor_Engine_System;17;13;1;28;131044
