model;features;tree_constraints;cross_constraints;valid;invalid
Linea de Experimentos;24;20;0;16;16777200
Linea de Experimentos;24;20;0;16;16777200
Linea de Experimentos;24;20;0;16;16777200
Linea de Experimentos;24;20;0;16;16777200
Linea de Experimentos;24;20;0;16;16777200
PLeTs;24;19;2;160;16777056
Counter Strike Simple Feature Model;24;13;2;18176;16759040
Invio;24;12;4;23520;16753696
agis;24;18;8;354;16776862
EMGBS;24;21;1;84;16777132
B2B Website;24;19;0;32;16777184
E-Learning;24;14;2;10240;16766976
TiendaEnLinea;24;9;2;15872;16761344
IMSPL-FeatureModel-V1;24;15;0;8192;16769024
Classifieds Systems;24;13;3;7750;16769466
Configurable Tank;24;18;2;108;16777108
Online shopping software;24;21;8;10;16777206
CassVotingMachine;24;16;0;448;16776768
Urna Eletronica;24;17;0;168;16777048
U-learning System;24;11;2;59584;16717632
Charger;24;10;0;131072;16646144
