model;features;tree_constraints;cross_constraints;valid;invalid
ATM Software;29;14;0;43008;536827904
Feature Model do Dominio de Agendamento;29;15;2;369408;536501504
TV-Series Shirt;29;11;6;21984;536848928
Eclipse Platform;29;12;3;983150;535887762
Torrent Client;29;14;3;147456;536723456
RhiscomProcessModel;29;24;4;48;536870864
Health Plan Diogo;29;19;4;91232;536779680
Bikesharing;29;15;5;60840;536810072
EventosHernandez;29;16;0;76545;536794367
blog-Gabriel-magister2014;29;19;3;10356;536860556
MobileApps Multiplatform;29;9;8;355688;536515224
ScrollingText;29;19;12;192;536870720
GPL;29;9;19;22752;536848160
Inmobiliaria_Taller;29;11;4;414000;536456912
Gophone messaging;29;20;1;9024;536861888
VR application;29;21;2;3276;536867636
Bikesharing;29;15;5;60840;536810072
Control biometrico;29;20;0;7936;536862976
