model;features;tree_constraints;cross_constraints;valid;invalid
Car PL;14;7;2;88;16296
IDE4OCL;14;8;0;64;16320
WB;14;5;4;640;15744
MiniTV;14;7;0;248;16136
Carro Model;14;8;2;30;16354
CTOS MODEL;14;9;1;18;16366
Mobile Phone, until relase 5;14;10;0;16;16368
ELPS - ISE;14;6;0;462;15922
UML-IDE-TOOL;14;4;0;1536;14848
Linha de produtos - SimulES e PnP;14;9;2;144;16240
Car demo;14;9;0;48;16336
Simple Drawing Tools;14;5;0;1905;14479
pruebapalabras;14;11;0;72;16312
PhysEval;14;10;1;54;16330
JhotDrawn;14;6;0;1028;15356
Mobile Media;14;12;1;6;16378
User Model;14;7;2;144;16240
Buzzard Radio play DB;14;8;1;448;15936
RE Process;14;11;0;8;16376
Mobile Media JULIO;14;9;2;24;16360
matrices;14;9;3;20;16364
Mobile media v4;14;13;0;4;16380
Mobile Phone Software;14;9;2;52;16332
Celular;14;8;1;96;16288
Pip;14;14;0;1;16383
AGORA;14;10;0;120;16264
SHIFT QAs;14;10;0;24;16360
BSS_CS5702_G3;14;11;0;8;16376
Smart-phone;14;10;2;8;16376
Scenario Application;14;9;0;56;16328
Simplified Smart Hotel;14;7;1;232;16152
Content Store;14;9;0;56;16328
Urna Gleidson;14;10;3;9;16375
Eleição de um prefeito e um vereador;14;14;0;16;16368
LeSE - Learning Software Engineering;14;11;0;24;16360
LeSE - Learning Software Engineering (Aprendendo Engenharia de Software);14;11;0;16;16368
Clinica Medica;14;11;1;12;16372
Celulares;14;8;0;404;15980
video on demand;14;10;0;32;16352
Pizza;14;7;1;196;16188
SA;14;8;1;176;16208
Smartwatch;14;8;0;64;16320
TVSmart;14;10;4;10;16374
catalogo;14;12;0;6;16378
Farnaz koohestani;14;14;0;1;16383
Virtual_Office_of_the_Future;14;9;0;48;16336
Search_Engine_PL;14;7;2;126;16258
JPlug;14;9;2;80;16304
James;14;8;2;68;16316
