model;features;tree_constraints;cross_constraints;valid;invalid
E-portal;11;8;0;16;2032
VOD feature model;11;6;3;32;2016
Asghar;11;8;0;32;2016
MyFeatureModel;11;8;0;35;2013
SmartHome_vConejero_r1;11;10;0;2;2046
ETRobocon;11;5;0;120;1928
Test;11;8;2;7;2041
ordem;11;8;0;56;1992
desordem;11;8;0;56;1992
UPL;11;8;0;18;2030
Mauricio Alférez;11;8;1;10;2038
Loja Virtual;11;6;2;56;1992
SmartHome- Simplified Sample;11;8;1;10;2038
Ubuntu;11;8;1;12;2036
Implementacion;11;7;7;7;2041
Imolementacion II;11;9;0;3;2045
Basic Car;11;8;2;16;2032
CarExample;11;10;1;3;2045
mo;11;5;2;60;1988
Mobile Media v3;11;10;0;2;2046
JDFM;11;6;0;20;2028
Analisis;11;8;0;6;2042
Matrix chain multiplication;11;7;2;15;2033
Observatorio;11;10;0;8;2040
collapse_view_example;11;10;0;31;2017
Match de foot;11;7;0;16;2032
Xor Example;11;3;8;40;2008
XOR NEW;11;3;10;88;1960
Xor Example 2;11;3;10;72;1976
Sylvain Example;11;7;11;10;2038
ROOT;11;4;1;96;1952
NovoSiga;11;7;1;20;2028
asdsfa ewtwwe;11;7;1;12;2036
Website;11;5;0;64;1984
1;11;7;1;14;2034
erewr;11;9;0;24;2024
Webshop_SPLE2014_Chalmers;11;8;1;8;2040
poker spl;11;7;0;21;2027
r;11;6;0;84;1964
E-shop;11;7;2;29;2019
PC model;11;7;1;18;2030
testing;11;4;0;255;1793
ubuntu;11;8;1;18;2030
Jogo;11;9;0;4;2044
Assistente de Compras;11;8;0;24;2024
HandlingSystem;11;15;0;1;2047
Autosoft;11;6;1;112;1936
Rotation1;11;12;0;10;2038
SPL_e_commerce;11;6;2;56;1992
ESCA Embeeded System;11;6;0;10;2038
27-5-207 test;11;7;4;44;2004
Modelo de Característica para Entidades Urbanas;11;2;0;512;1536
ZMUConcernExample;11;8;2;8;2040
SimpleModel;11;7;0;24;2024
Car;11;6;3;12;2036
Weather Station;11;7;1;44;2004
Cellphone;11;7;2;14;2034
