CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.384;0.319;0.337;0.007;396;0.986;0.820;0.867;0.013;154
HoeffdingTree;0.028;0.003;0.006;0.007;396;0.268;0.030;0.054;0.013;41
SVM_Poly[3,2.0,0.5];0.275;0.165;0.168;0.007;396;0.633;0.381;0.386;0.006;172
REPTree;0.380;0.283;0.310;0.007;396;0.978;0.727;0.796;0.013;154
RandomForest;1.000;1.000;1.000;0.007;396;1.000;1.000;1.000;0.007;396
StochasticGradientDescend;0.000;0.000;0.000;0.007;396;0.000;0.000;0.000;0.000;0
RandomCommittee;0.854;0.753;0.770;0.007;396;0.991;0.875;0.895;0.007;341
NaiveBayesUpdateable;0.056;0.011;0.017;0.007;396;1.000;0.192;0.314;0.039;22
MultilayerPerceptron[a];0.917;0.827;0.863;0.007;396;1.000;0.902;0.941;0.007;363
J48;0.165;0.146;0.153;0.007;396;0.988;0.873;0.919;0.023;66


VALIDITY RATIO;(F)
min;0.000244
avg;0.006877
max;0.042969

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.406;0.351;0.362;0.007;3960;0.940;0.813;0.840;0.009;1709

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Phone sple;0.682;0.559;0.582;0.026;110;0.974;0.799;0.831;0.026;77
Final model;0.300;0.300;0.300;0.003;110;0.917;0.917;0.917;0.003;36
FM with optional XOR;0.676;0.538;0.569;0.005;110;0.941;0.749;0.792;0.005;79
SmartHome_vConejero_r1;0.300;0.300;0.300;0.001;110;0.943;0.943;0.943;0.001;35
27-5-207 test;0.474;0.330;0.337;0.021;110;0.948;0.659;0.675;0.021;55
LXEP;0.255;0.250;0.250;0.002;110;0.848;0.833;0.833;0.002;33
Test;0.300;0.200;0.217;0.003;110;0.943;0.629;0.683;0.003;35
mon model;0.200;0.200;0.200;0.006;110;0.917;0.917;0.917;0.006;24
Xor Example;0.600;0.480;0.525;0.020;110;1.000;0.800;0.875;0.020;66
Implementacion;0.300;0.214;0.245;0.003;110;0.971;0.693;0.794;0.003;34
Xor Example 2;0.800;0.600;0.628;0.035;110;1.000;0.750;0.784;0.035;88
Text Editor;0.300;0.300;0.300;0.003;110;0.943;0.943;0.943;0.003;35
ID;0.200;0.200;0.200;0.000;110;1.000;1.000;1.000;0.000;22
Observatorio;0.200;0.200;0.200;0.004;110;0.846;0.846;0.846;0.004;26
CarExample;0.300;0.200;0.230;0.001;110;1.000;0.667;0.767;0.001;33
XOR NEW;0.700;0.618;0.638;0.043;110;0.975;0.861;0.888;0.043;79
Eval_board;0.270;0.250;0.256;0.002;110;0.902;0.833;0.854;0.002;33
Telecommunication_System;0.487;0.378;0.403;0.004;110;0.923;0.716;0.764;0.004;58
Disenio;0.300;0.275;0.286;0.004;110;0.892;0.818;0.849;0.004;37
CIMS PL;0.251;0.300;0.264;0.001;110;0.837;1.000;0.879;0.001;33
rotation;0.300;0.300;0.300;0.001;110;0.846;0.846;0.846;0.001;39
Rotation1;0.500;0.460;0.478;0.005;110;0.917;0.843;0.876;0.005;60
ZMUConcernExample;0.593;0.563;0.577;0.004;110;0.989;0.938;0.961;0.004;66
collapse_view_example;0.399;0.216;0.238;0.015;110;0.954;0.517;0.569;0.015;46
FeatureModelName;0.291;0.300;0.294;0.002;110;0.800;0.825;0.808;0.002;40
TW SPL Hard Choices;0.500;0.500;0.500;0.001;110;0.982;0.982;0.982;0.001;56
Mobile Media v3;0.377;0.350;0.359;0.001;110;0.943;0.875;0.898;0.001;44
Jogo;0.400;0.400;0.400;0.000;110;1.000;1.000;1.000;0.000;44
drupal sawsen;0.600;0.600;0.600;0.008;110;1.000;1.000;1.000;0.008;66
Basic Car;0.700;0.606;0.612;0.008;110;1.000;0.866;0.874;0.008;77
Sylvain Example;0.439;0.358;0.381;0.004;220;0.928;0.758;0.806;0.004;104
HandlingSystem;0.200;0.200;0.200;0.000;110;0.759;0.759;0.759;0.000;29
Modelo;0.273;0.225;0.236;0.004;110;0.909;0.750;0.788;0.004;33
Pruebas;0.400;0.229;0.280;0.002;110;0.917;0.524;0.642;0.002;48
E-commerce system1;0.300;0.267;0.280;0.001;110;0.846;0.752;0.790;0.001;39
